route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
LTFRB_PUJ1961,724594,724705,,,,,0,
LTFRB_PUJ1558,724594,724706,,,,,0,
LTFRB_PUJ1256,724594,724707,,,,,0,
LTFRB_PUB1143,724594,724708,,,,,0,
LTFRB_PUJ1368,724594,724709,,,,,0,
LTFRB_PUJ2333,724594,724710,,,,,0,
LTFRB_PUJ1397,724594,724711,,,,,0,
LTFRB_PUJ2236,724594,724712,,,,,0,
LTFRB_PUJ1701,724594,724713,,,,,0,
LTFRB_PUB1062,724594,724714,,,,,0,
LTFRB_PUJ1359,724594,724715,,,,,0,
LTFRB_PUJ1991,724594,724716,,,,,0,
LTFRB_PUJ2437,724594,724717,,,,,0,
LTFRB_PUJ1612,724594,724718,,,,,0,
LTFRB_PUJ1467,724594,724719,,,,,0,
LTFRB_PUJ1784,724594,724720,,,,,0,
LTFRB_PUJ1309,724594,724721,,,,,0,
LTFRB_PUB1114,724594,724722,,,,,0,
LTFRB_PUJ1796,724594,724723,,,,,0,
LTFRB_PUJ2229,724594,724724,,,,,0,
LTFRB_PUB1162,724594,724725,,,,,0,
LTFRB_PUB1198,724594,724726,,,,,0,
LTFRB_PUJ2255,724594,724727,,,,,0,
LTFRB_PUJ1170,724594,724728,,,,,0,
LTFRB_PUJ2275,724594,724729,,,,,0,
LTFRB_PUJ1866,724594,724730,,,,,0,
LTFRB_PUJ1259,724594,724731,,,,,0,
LTFRB_PUJ1934,724594,724732,,,,,0,
LTFRB_PUJ1911,724594,724733,,,,,0,
LTFRB_PUJ2529,724594,724734,,,,,0,
LTFRB_PUJ1402,724594,724735,,,,,0,
LTFRB_PUJ1807,724594,724736,,,,,0,
LTFRB_PUJ1341,724594,724737,,,,,0,
LTFRB_PUJ1219,724594,724738,,,,,0,
LTFRB_PUJ1624,724594,724739,,,,,0,
LTFRB_PUJ1159,724594,724740,,,,,0,
LTFRB_PUB1170,724594,724741,,,,,0,
LTFRB_PUJ1067,724594,724742,,,,,0,
LTFRB_PUJ1863,724594,724743,,,,,0,
LTFRB_PUJ1980,724594,724744,,,,,0,
LTFRB_PUJ1243,724594,724745,,,,,0,
LTFRB_PUJ2181,724594,724746,,,,,0,
LTFRB_PUJ1421,724594,724747,,,,,0,
LTFRB_PUJ1333,724594,724748,,,,,0,
LTFRB_PUJ1806,724594,724749,,,,,0,
LTFRB_PUJ1137,724594,724750,,,,,0,
LTFRB_PUJ1493,724594,724751,,,,,0,
LTFRB_PUB1011,724594,724752,,,,,0,
LTFRB_PUJ1924,724594,724753,,,,,0,
LTFRB_PUJ1985,724594,724754,,,,,0,
LTFRB_PUJ2575,724594,724755,,,,,0,
LTFRB_PUJ1114,724594,724756,,,,,0,
LTFRB_PUJ1790,724594,724757,,,,,0,
LTFRB_PUJ2615,724594,724758,,,,,0,
LTFRB_PUJ1779,724594,724759,,,,,0,
LTFRB_PUJ1909,724594,724760,,,,,0,
LTFRB_PUJ2193,724594,724761,,,,,0,
LTFRB_PUJ2341,724594,724762,,,,,0,
LTFRB_PUJ1196,724594,724763,,,,,0,
LTFRB_PUJ2596,724594,724764,,,,,0,
LTFRB_PUJ1731,724594,724766,,,,,0,
LTFRB_PUJ1280,724594,724767,,,,,0,
LTFRB_PUB1015,724594,724768,,,,,0,
LTFRB_PUJ1608,724594,724769,,,,,0,
LTFRB_PUJ1700,724594,724770,,,,,0,
LTFRB_PUJ2224,724594,724771,,,,,0,
LTFRB_PUB1121,724594,724772,,,,,0,
LTFRB_PUJ1442,724594,724774,,,,,0,
LTFRB_PUJ1484,724594,724775,,,,,0,
LTFRB_PUB1127,724594,724776,,,,,0,
LTFRB_PUJ1364,724594,724777,,,,,0,
LTFRB_PUJ1866,724594,724778,,,,,0,
LTFRB_PUJ2003,724594,724779,,,,,0,
LTFRB_PUJ2286,724594,724780,,,,,0,
LTFRB_PUJ2451,881579,724781,,,,,0,
LTFRB_PUB1130,724594,724782,,,,,0,
LTFRB_PUJ2023,724594,724783,,,,,0,
LTFRB_PUJ1826,724594,724784,,,,,0,
LTFRB_PUJ2265,724594,724785,,,,,0,
LTFRB_PUJ1720,724594,724786,,,,,0,
LTFRB_PUJ2206,724594,724787,,,,,0,
LTFRB_PUJ1847,724594,724788,,,,,0,
LTFRB_PUJ2418,724594,724789,,,,,0,
LTFRB_PUJ2088,724594,724790,,,,,0,
LTFRB_PUJ2295,724594,724791,,,,,0,
LTFRB_PUJ1436,724594,724792,,,,,0,
LTFRB_PUJ1643,724594,724793,,,,,0,
LTFRB_PUJ1657,724594,724794,,,,,0,
LTFRB_PUJ1962,724594,724795,,,,,0,
LTFRB_PUJ1619,724594,724796,,,,,0,
LTFRB_PUJ2017,724594,724797,,,,,0,
LTFRB_PUJ1979,724594,724798,,,,,0,
LTFRB_PUJ2060,724594,724799,,,,,0,
LTFRB_PUJ1281,724594,724800,,,,,0,
LTFRB_PUJ1604,724594,724801,,,,,0,
LTFRB_PUJ2293,724594,724802,,,,,0,
LTFRB_PUJ1735,724594,724803,,,,,0,
LTFRB_PUJ1662,724594,724804,,,,,0,
LTFRB_PUJ1702,724594,724805,,,,,0,
LTFRB_PUJ2618,724594,724806,,,,,0,
LTFRB_PUJ2259,724594,724807,,,,,0,
LTFRB_PUJ2230,724594,724808,,,,,0,
LTFRB_PUJ2273,724594,724809,,,,,0,
LTFRB_PUJ1737,724594,724810,,,,,0,
LTFRB_PUJ2208,724594,724811,,,,,0,
LTFRB_PUJ1028,724594,724812,,,,,0,
LTFRB_PUJ1355,724594,724813,,,,,0,
LTFRB_PUJ1130,724594,724814,,,,,0,
LTFRB_PUJ1621,724594,724815,,,,,0,
LTFRB_PUJ1978,724594,724816,,,,,0,
LTFRB_PUJ1417,724594,724817,,,,,0,
LTFRB_PUJ1678,724594,724818,,,,,0,
LTFRB_PUJ1706,724594,724819,,,,,0,
LTFRB_PUJ1585,724594,724820,,,,,0,
LTFRB_PUJ1349,724594,724821,,,,,0,
LTFRB_PUJ1970,724594,724822,,,,,0,
LTFRB_PUJ1592,724594,724823,,,,,0,
LTFRB_PUJ1754,724594,724824,,,,,0,
LTFRB_PUJ1008,724594,724825,,,,884367,0,
LTFRB_PUJ1663,724594,724826,,,,,0,
LTFRB_PUJ2000,724594,724827,,,,,0,
LTFRB_PUJ1202,724594,724828,,,,,0,
LTFRB_PUJ1042,724594,724829,,,,,0,
LTFRB_PUJ1543,724594,724830,,,,,0,
LTFRB_PUJ1392,724594,724831,,,,,0,
LTFRB_PUJ2031,724594,724832,,,,,0,
